,Unnamed: 0.1,Unnamed: 0,name,return_type,signature,params,summary,source_code,extent,file_path,sum_tokenize
10,10,10,step_filter,void,"void step_filter(float step, float in, float * out)","[{'name': 'step', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]",根据输入值in与输出值out的差值与step比较，对out进行相应的增加或减少操作。,"void step_filter(float step,float in,float *out) 
{
	if(in - *out > step)
	{
		*out += step;
	}
	else if(in - *out < -step)
	{
		*out -= step;
	}
	else
	{
		*out = in;
	}

}","{'begin': {'line': 257, 'column': 1}, 'end': {'line': 272, 'column': 2}}",startup_msp432e401y_ewarm.c,"['根据', '输入', '值', 'in', '与', '输出', '值', 'out', '的', '差值', '与', 'step', '比较', '，', '对', 'out', '进行', '相应', '的', '增加', '或', '减少', '操作', '。']"
11,11,11,my_hpf_limited,float,"float my_hpf_limited(float T, float hz, float x, float zoom, float * zoom_adj)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'x', 'type': 'float'}, {'name': 'zoom', 'type': 'float'}, {'name': 'zoom_adj', 'type': 'float *'}]",调整并限制高频脉冲宽度，考虑T、hz、x、zoom参数，通过zoom_adj参数反馈调整。,"float my_hpf_limited(float T,float hz,float x,float zoom,float *zoom_adj)
{

	
	*zoom_adj += ( 1 / ( 1 + 1 / ( hz *6.28f *T ) ) ) *(x - *zoom_adj);
	*zoom_adj = LIMIT(*zoom_adj,-zoom,zoom);
	return (x - *zoom_adj);

}","{'begin': {'line': 274, 'column': 1}, 'end': {'line': 282, 'column': 2}}",startup_msp432e401y_ewarm.c,"['调整', '并', '限制', '高频', '脉冲', '宽度', '，', '考虑', 'T', '、', 'hz', '、', 'x', '、', 'zoom', '参数', '，', '通过', 'zoom', '_', 'adj', '参数', '反馈', '调整', '。']"
12,12,12,simple_3d_trans,void,"void simple_3d_trans(float ref, float in, float out)","[{'name': 'ref', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float'}]",简单3D变换函数，用于在水平面附近有限范围内变换3D向量。,"void simple_3d_trans(float ref[VEC_XYZ], float in[VEC_XYZ], float out[VEC_XYZ]) //该函数只有在水平面附近一个有限的范围内正确。
{
	static s8 pn;
	static float h_tmp_x,h_tmp_y;
	
	h_tmp_x = my_sqrt(my_pow(ref[Z]) + my_pow(ref[Y]));
	h_tmp_y = my_sqrt(my_pow(ref[Z]) + my_pow(ref[X]));
	
	pn = ref[Z] < 0? -1 : 1;
	
	  out[X] = ( h_tmp_x *in[X] - pn *ref[X] *in[Z] ) ;
		out[Y] = ( pn *h_tmp_y *in[Y] - ref[Y] *in[Z] ) ;
	
// 	 out[X] = h_tmp_x *in[X] - ref[X] *in[Z];
// 	 out[Y] = ref[Z] *in[Y] - ref[Y] *in[Z];
	
	out[Z] = ref[X] *in[X] + ref[Y] *in[Y] + ref[Z] *in[Z] ;

}","{'begin': {'line': 284, 'column': 1}, 'end': {'line': 302, 'column': 2}}",startup_msp432e401y_ewarm.c,"['简单', '3D', '变换', '函数', '，', '用于', '在', '水平', '平面', '水平面', '附近', '有限', '范围', '内', '变换', '3D', '向量', '。']"
13,13,13,vec_3dh_transition,void,"void vec_3dh_transition(float ref, float in, float out)","[{'name': 'ref', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float'}]",vec_3dh_transition函数用于执行向量三维空间中的过渡变换。,"void vec_3dh_transition(float ref[VEC_XYZ], float in[VEC_XYZ], float out[VEC_XYZ])
{
	simple_3d_trans(ref,in,out); //
}","{'begin': {'line': 304, 'column': 1}, 'end': {'line': 307, 'column': 2}}",startup_msp432e401y_ewarm.c,"['vec', '_', '3dh', '_', 'transition', '函数', '用于', '执行', '向量', '三维', '空间', '维空间', '三维空间', '中', '的', '过渡', '变换', '。']"
14,14,14,vec_3dh_transition_matrix,void,"void vec_3dh_transition_matrix(float ref, float wh_matrix)","[{'name': 'ref', 'type': 'float'}, {'name': 'wh_matrix', 'type': 'float'}]",计算3D空间中向量的过渡矩阵,"void vec_3dh_transition_matrix(float ref[VEC_XYZ],float wh_matrix[VEC_XYZ][VEC_XYZ])
{

}","{'begin': {'line': 309, 'column': 1}, 'end': {'line': 312, 'column': 2}}",startup_msp432e401y_ewarm.c,"['计算', '3D', '空间', '中', '向量', '的', '过渡', '矩阵']"
15,15,15,inte_fix_filter,void,"void inte_fix_filter(float dT, int * data)","[{'name': 'dT', 'type': 'float'}, {'name': 'data', 'type': 'int *'}]",根据输入的dT和ei_limit或ei值，计算并更新数据中的out、e和ei值。,"void inte_fix_filter(float dT,_inte_fix_filter_st *data)
{
	float ei_lim_val;
	
	if(data->ei_limit>0)
	{		
		ei_lim_val = LIMIT(data->ei,-data->ei_limit,data->ei_limit);
	}
	else
	{
		ei_lim_val = data->ei;
	}	
	
	data->out = (data->in_est + ei_lim_val);
	
	data->e = data->fix_ki *(data->in_obs - data->out);

	data->ei += data->e *dT;

}","{'begin': {'line': 9, 'column': 1}, 'end': {'line': 28, 'column': 2}}",system_msp432e401y.c,"['根据', '输入', '的', 'dT', '和', 'ei', '_', 'limit', '或', 'ei', '值', '，', '计算', '并', '更新', '数据', '中', '的', 'out', '、', 'e', '和', 'ei', '值', '。']"
16,16,16,fix_inte_filter,void,"void fix_inte_filter(float dT, int * data)","[{'name': 'dT', 'type': 'float'}, {'name': 'data', 'type': 'int *'}]",根据输入参数dT和数据指针data，计算并更新数据成员out和e的值，并限制e的值在-e_limit到e_limit之间。,"void fix_inte_filter(float dT,_fix_inte_filter_st *data)
{
	
	data->out += (data->in_est_d + data->e ) *dT;
	
	data->e = data->fix_kp *(data->in_obs - data->out);

	if(data->e_limit>0)
	{		
		data->e = LIMIT(data->e,-data->e_limit,data->e_limit);
	}
	
}","{'begin': {'line': 30, 'column': 1}, 'end': {'line': 42, 'column': 2}}",system_msp432e401y.c,"['根据', '输入', '参数', 'dT', '和', '数据', '指针', 'data', '，', '计算', '并', '更新', '数据', '成员', 'out', '和', 'e', '的', '值', '，', '并', '限制', 'e', '的', '值', '在', '-', 'e', '_', 'limit', '到', 'e', '_', 'limit', '之间', '。']"
17,17,17,limit_filter,void,"void limit_filter(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]","对输入信号进行滤波处理，使用LPF_1滤波器，输出限制在[-abs_t, abs_t]范围内。","void limit_filter(float T,float hz,_lf_t *data,float in) //增量滤波，适合大噪声低滞后（无缝），收敛最快
{
	float abs_t;
// 	LPF_1(hz,T,	 in,&(data->lpf_1)); 
// 	abs_t = ABS(data->lpf_1);
// 	data->out = LIMIT(in,-abs_t,abs_t);
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
 	abs_t = ABS(in);
	data->out = LIMIT((data->lpf_1),-abs_t,abs_t);
}","{'begin': {'line': 44, 'column': 1}, 'end': {'line': 53, 'column': 2}}",system_msp432e401y.c,"['对', '输入', '信号', '进行', '滤波', '处理', '，', '使用', 'LPF', '_', '1', '滤波', '滤波器', '，', '输出', '限制', '在', '[', '-', 'abs', '_', 't', ',', ' ', 'abs', '_', 't', ']', '范围', '内', '。']"
18,18,18,limit_filter_2,void,"void limit_filter_2(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]",对输入数据进行增量滤波、均衡处理，但存在一定的滞后。,"void limit_filter_2(float T,float hz,_lf_t *data,float in) //增量滤波，均衡，但滞后稍大(数据反向等待低通反向)
{
	float abs_t;
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
	abs_t = ABS(data->lpf_1);
	data->out = LIMIT(in,-abs_t,abs_t);
// 	LPF_1(hz,T,	 in,&(data->lpf_1)); 
//  	abs_t = ABS(in);
// 	data->out = LIMIT((data->lpf_1),-abs_t,abs_t);
}","{'begin': {'line': 55, 'column': 1}, 'end': {'line': 64, 'column': 2}}",system_msp432e401y.c,"['对', '输入', '数据', '进行', '增量', '滤波', '、', '均衡', '处理', '，', '但', '存在', '一定', '的', '滞后', '。']"
19,19,19,limit_filter_3,void,"void limit_filter_3(float T, float hz, int * data, float in)","[{'name': 'T', 'type': 'float'}, {'name': 'hz', 'type': 'float'}, {'name': 'data', 'type': 'int *'}, {'name': 'in', 'type': 'float'}]",增量滤波函数，适用于低噪声且滞后较小的场景，通过LPF_1_处理输入数据，并进行限幅操作以控制输出。,"void limit_filter_3(float T,float hz,_lf_t *data,float in) //增量滤波，适合低噪声滞后较小(等幅大噪声平行不收敛),噪声大收敛过慢
{
	float abs_t;
	LPF_1_(hz,T,	 in,(data->lpf_1)); 
	abs_t = ABS(in);
	data->out = data->lpf_1 = LIMIT((data->lpf_1),-abs_t,abs_t);

}","{'begin': {'line': 66, 'column': 1}, 'end': {'line': 73, 'column': 2}}",system_msp432e401y.c,"['增量', '滤波', '函数', '，', '适用', '于', '噪声', '低噪声', '且', '滞后', '较', '小', '的', '场景', '，', '通过', 'LPF', '_', '1', '_', '处理', '输入', '数据', '，', '并', '进行', '限幅', '操作', '以', '控制', '输出', '。']"
20,20,20,steepest_descend,void,"void steepest_descend(int[] arr, int len, int * steepest, int step_num, int in)","[{'name': 'arr', 'type': 'int[]'}, {'name': 'len', 'type': 'int'}, {'name': 'steepest', 'type': 'int *'}, {'name': 'step_num', 'type': 'int'}, {'name': 'in', 'type': 'int'}]",计算数组中每个点的梯度，并根据梯度和步数更新最陡下降路径。,"void steepest_descend(s32 arr[],u8 len,_steepest_st *steepest,u8 step_num,s32 in)
{	
	u8 updw = 1;//0 dw,1up
	s16 i;
	u8 step_cnt=0;
	u8 step_slope_factor=1;
	u8 on = 1;
	s8 pn = 1;
	//float last = 0;
	float step = 0;
	s32 start_point = 0;
	s32 pow_sum = 0;
	
	steepest->lst_out = steepest->now_out;
	
	if( ++(steepest->cnt) >= len )	
	{
		(steepest->cnt) = 0; //now
	}
	
	//last = arr[ (steepest->cnt) ];
	
	arr[ (steepest->cnt) ] = in;
	
	step = (float)(in - steepest->lst_out)/step_num ;//梯度
	
	if(ABS(step)<1)//整形数据<1的有效判定
	{
		if(ABS(step)*step_num<2)
		{
			step = 0;
		}
		else
		{
		  step = (step > 0) ? 1 : -1;
		}
	}
	
	start_point = steepest->lst_out;
	do
	{
		//start_point = steepest->lst_out;
		for(i=0;i<len;i++)
		{
// 			j = steepest->cnt + i + 1;
// 			if( j >= len )	
// 			{
// 				j = j - len; //顺序排列
// 			}
			pow_sum += my_pow(arr[i] - start_point );// /step_num;//除法减小比例**
			
			//start_point += pn *(step_slope_factor *step/len);
		}
			
		if(pow_sum - steepest->lst_pow_sum > 0)
		{		
			if(updw==0)
			{
				on = 0;
			}
			updw = 1;//上升了
			pn = (pn == 1 )? -1:1;

		}
		else
		{
			updw = 0; //正在下降
 			if(step_slope_factor<step_num)
 			{
 				step_slope_factor++;
 			}
		}
			
		steepest->lst_pow_sum = pow_sum;		
		pow_sum = 0;
		start_point += pn *step;//调整
		
		if(++step_cnt > step_num)//限制计算次数
		{
			on = 0;
		}
			//////
			if(step_slope_factor>=2)//限制下降次数1次，节省时间，但会增大滞后，若cpu时间充裕可不用。
			{
				on = 0;

			}
			//////
		
	}
	while(on==1);
	
	steepest->now_out = start_point ;//0.5f *(start_point + steepest->lst_out);//
	
	steepest->now_velocity_xdt = steepest->now_out - steepest->lst_out;
}","{'begin': {'line': 78, 'column': 1}, 'end': {'line': 173, 'column': 2}}",system_msp432e401y.c,"['计算', '数组', '中', '每个', '点', '的', '梯度', '，', '并', '根据', '梯度', '和', '步数', '更新', '最', '陡', '下降', '路径', '。']"
21,21,21,fir_arrange_filter,void,"void fir_arrange_filter(float * arr, int len, int * fil_cnt, float in, float * arr_out)","[{'name': 'arr', 'type': 'float *'}, {'name': 'len', 'type': 'int'}, {'name': 'fil_cnt', 'type': 'int *'}, {'name': 'in', 'type': 'float'}, {'name': 'arr_out', 'type': 'float *'}]",对输入数组进行滤波和排序处理,"void fir_arrange_filter(float *arr,u16 len,u8 *fil_cnt,float in,float *arr_out) //len<=255 len >= 3
{
	//float arrange[len];
	float tmp;
	u8 i,j;
/*
窗口数据处理
*/		
	if( ++*fil_cnt >= len )	
	{
		*fil_cnt = 0; //now
	}
	
	arr[ *fil_cnt ] = in;
/*
窗口数据处理
*/	
	
/*
赋值、排列
*/	
	for(i=0;i<len;i++)
	{
		arr_out[i] = arr[i];
	}
	
	for(i=0;i<len-1;i++)
	{
		for(j=0;j<len-1-i;j++)
		{
			if(arr_out[j]>arr_out[j+1])
			{
				tmp = arr_out[j+1];
				arr_out[j+1] = arr_out[j];
				arr_out[j] = tmp;
			}
		}
	}
/*
赋值、排列
*/		
	

}","{'begin': {'line': 175, 'column': 1}, 'end': {'line': 218, 'column': 2}}",system_msp432e401y.c,"['对', '输入', '数组', '进行', '滤波', '和', '排序', '处理']"
22,22,22,Moving_Average,void,"void Moving_Average(float[] moavarray, int len, int * fil_cnt, float in, float * out)","[{'name': 'moavarray', 'type': 'float[]'}, {'name': 'len', 'type': 'int'}, {'name': 'fil_cnt', 'type': 'int *'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]",计算滑动平均数，更新数组和总和，修正数据精度误差。,"void Moving_Average(float moavarray[],u16 len ,u16 *fil_cnt,float in,float *out)
{
	u16 width_num;
	float last;

	width_num = len ;
	
	if( ++*fil_cnt >= width_num )	
	{
		*fil_cnt = 0; //now
	}
	
	last = moavarray[ *fil_cnt ];
	
	moavarray[ *fil_cnt ] = in;
	
	*out += ( in - ( last  ) )/(float)( width_num ) ;
	//*out += 0.00001f *(in - *out);
	*out += 0.00001f *LIMIT((in - *out),-1,1);  //数据精度误差修正
	
}","{'begin': {'line': 223, 'column': 2}, 'end': {'line': 243, 'column': 2}}",system_msp432e401y.c,"['计算', '滑动', '平均', '均数', '平均数', '，', '更新', '数组', '和', '总和', '，', '修正', '数据', '精度', '误差', '。']"
23,23,23,LPF_1,void,"void LPF_1(float hz, float time, float in, float * out)","[{'name': 'hz', 'type': 'float'}, {'name': 'time', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]",对输入信号进行低通滤波处理，输出滤波后的信号。,"void LPF_1(float hz,float time,float in,float *out)  
{
	*out += ( 1 / ( 1 + 1 / ( hz *6.28f *time ) ) ) *( in - *out );

}","{'begin': {'line': 245, 'column': 1}, 'end': {'line': 249, 'column': 2}}",system_msp432e401y.c,"['对', '输入', '信号', '进行', '低', '滤波', '通滤波', '处理', '，', '输出', '滤波', '后', '的', '信号', '。']"
24,24,24,LPF_1_db,void,"void LPF_1_db(float hz, float time, double in, double * out)","[{'name': 'hz', 'type': 'float'}, {'name': 'time', 'type': 'float'}, {'name': 'in', 'type': 'double'}, {'name': 'out', 'type': 'double *'}]",对输入信号进行低通滤波处理，输出滤波后的信号。,"void LPF_1_db(float hz,float time,double in,double *out)
{
	*out += ( 1 / ( 1 + 1 / ( hz *6.28f *time ) ) ) *( in - *out );

}","{'begin': {'line': 251, 'column': 1}, 'end': {'line': 255, 'column': 2}}",system_msp432e401y.c,"['对', '输入', '信号', '进行', '低', '滤波', '通滤波', '处理', '，', '输出', '滤波', '后', '的', '信号', '。']"
25,25,25,step_filter,void,"void step_filter(float step, float in, float * out)","[{'name': 'step', 'type': 'float'}, {'name': 'in', 'type': 'float'}, {'name': 'out', 'type': 'float *'}]",根据输入值in与输出值out的差值与step的关系，调整输出值out。,"void step_filter(float step,float in,float *out) 
{
	if(in - *out > step)
	{
		*out += step;
	}
	else if(in - *out < -step)
	{
		*out -= step;
	}
	else
	{
		*out = in;
	}

}","{'begin': {'line': 257, 'column': 1}, 'end': {'line': 272, 'column': 2}}",system_msp432e401y.c,"['根据', '输入', '值', 'in', '与', '输出', '值', 'out', '的', '差值', '与', 'step', '的', '关系', '，', '调整', '输出', '值', 'out', '。']"
