,Unnamed: 0,name,return_type,signature,params,summary,source_code,extent,file_path,sum_tokenize
10,10,stbi__malloc,void *,void * stbi__malloc(int size),"[{'name': 'size', 'type': 'int'}]",通过STBI_MALLOC分配指定大小的内存空间,"static void *stbi__malloc(size_t size)
{
    return STBI_MALLOC(size);
}","{'begin': {'line': 985, 'column': 1}, 'end': {'line': 988, 'column': 2}}",play_bmp_sequence.c,"['通过', 'STBI', '_', 'MALLOC', '分配', '指定', '大小', '的', '内存', '空间', '内存空间']"
11,11,stbi__addsizes_valid,int,"int stbi__addsizes_valid(int a, int b)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}]","好的，我需要处理用户关于函数摘要的请求。用户之前已经要求生成摘要，现在要求进一步缩减到不超过50字，并且不包含文件地址。

首先，回顾之前的回复，用户提供的函数是stbi__addsizes_valid，功能是检查两个整数相加是否溢出。之前的摘要已经是“检查两整数相加是否溢出”，符合要求，但用户可能希望更简洁。

需要确保新摘要不超过50字，同时准确传达功能。当前摘要已经非常简洁，可能无法进一步缩短而不丢失关键信息。比如“检测整数加法溢出”可能更简短，但需要确认是否准确。原函数检查a + b是否超过INT_MAX，所以“溢出”是正确的术语。

确认用户不需要文件路径，这里没有涉及。因此，最佳选择是保持原摘要，或者略微调整。比如原回复是14字，符合要求。可能用户希望更简练，但已经无法更短而不影响准确性。所以维持原摘要即可。
</think>

{""name"": ""stbi__addsizes_valid"", ""summary"": ""检查两整数相加是否溢出""}","static int stbi__addsizes_valid(int a, int b)
{
   if (b < 0) return 0;
   // now 0 <= b <= INT_MAX, hence also
   // 0 <= INT_MAX - b <= INTMAX.
   // And ""a + b <= INT_MAX"" (which might overflow) is the
   // same as a <= INT_MAX - b (no overflow)
   return a <= INT_MAX - b;
}","{'begin': {'line': 1002, 'column': 1}, 'end': {'line': 1010, 'column': 2}}",play_bmp_sequence.c,"['好', '的', '，', '我', '需要', '处理', '用户', '关于', '函数', '摘要', '的', '请求', '。', '用户', '之前', '已经', '要求', '生成', '摘要', '，', '现在', '要求', '一步', '进一步', '缩减', '减到', '缩减到', '不', '超过', '50', '字', '，', '并且', '不', '包含', '文件', '地址', '。', '\n', '\n', '首先', '，', '回顾', '之前', '的', '回复', '，', '用户', '提供', '的', '函数', '是', 'stbi', '__', 'addsizes', '_', 'valid', '，', '功能', '是', '检查', '两个', '整数', '相加', '是否', '溢出', '。', '之前', '的', '摘要', '已经', '是', '“', '检查', '两', '整数', '相加', '是否', '溢出', '”', '，', '符合', '要求', '符合要求', '，', '但', '用户', '可能', '希望', '更', '简洁', '。', '\n', '\n', '需要', '确保', '新', '摘要', '不', '超过', '50', '字', '，', '同时', '准确', '传达', '功能', '。', '当前', '摘要', '已经', '非常', '简洁', '，', '可能', '无法', '一步', '进一步', '缩短', '而', '不', '丢失', '关键', '信息', '。', '比如', '“', '检测', '整数', '加法', '溢出', '”', '可能', '更', '简短', '，', '但', '需要', '确认', '是否', '准确', '。', '函数', '原函数', '检查', 'a', ' ', '+', ' ', 'b', '是否', '超过', 'INT', '_', 'MAX', '，', '所以', '“', '溢出', '”', '是', '正确', '的', '术语', '。', '\n', '\n', '确认', '用户', '不', '需要', '文件', '路径', '，', '这里', '没有', '涉及', '。', '因此', '，', '最佳', '选择', '是', '保持', '原', '摘要', '，', '或者', '略微', '调整', '。', '比如', '原', '回复', '是', '14', '字', '，', '符合', '要求', '符合要求', '。', '可能', '用户', '希望', '更', '简练', '，', '但', '已经', '无法', '更', '短', '而', '不', '影响', '准确', '准确性', '。', '所以', '维持', '原', '摘要', '即可', '。', '\n', '<', '/', 'think', '>', '\n', '\n', '{', '""', 'name', '""', ':', ' ', '""', 'stbi', '__', 'addsizes', '_', 'valid', '""', ',', ' ', '""', 'summary', '""', ':', ' ', '""', '检查', '两', '整数', '相加', '是否', '溢出', '""', '}']"
12,12,stbi__mul2sizes_valid,int,"int stbi__mul2sizes_valid(int a, int b)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}]",检查两整数相乘是否溢出，处理负数和零的情况。,"static int stbi__mul2sizes_valid(int a, int b)
{
   if (a < 0 || b < 0) return 0;
   if (b == 0) return 1; // mul-by-0 is always safe
   // portable way to check for no overflows in a*b
   return a <= INT_MAX/b;
}","{'begin': {'line': 1014, 'column': 1}, 'end': {'line': 1020, 'column': 2}}",play_bmp_sequence.c,"['检查', '两', '整数', '相乘', '是否', '溢出', '，', '处理', '负数', '和', '零', '的', '情况', '。']"
13,13,stbi__mad2sizes_valid,int,"int stbi__mad2sizes_valid(int a, int b, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",验证a*b及与add之和的有效性,"static int stbi__mad2sizes_valid(int a, int b, int add)
{
   return stbi__mul2sizes_valid(a, b) && stbi__addsizes_valid(a*b, add);
}","{'begin': {'line': 1024, 'column': 1}, 'end': {'line': 1027, 'column': 2}}",play_bmp_sequence.c,"['验证', 'a', '*', 'b', '及', '与', 'add', '之', '和', '的', '有效', '有效性']"
14,14,stbi__mad3sizes_valid,int,"int stbi__mad3sizes_valid(int a, int b, int c, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'c', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",检查三个数相乘加值是否有效防止溢出,"static int stbi__mad3sizes_valid(int a, int b, int c, int add)
{
   return stbi__mul2sizes_valid(a, b) && stbi__mul2sizes_valid(a*b, c) &&
      stbi__addsizes_valid(a*b*c, add);
}","{'begin': {'line': 1031, 'column': 1}, 'end': {'line': 1035, 'column': 2}}",play_bmp_sequence.c,"['检查', '三个', '数', '相乘', '加值', '是否', '有效', '防止', '溢出']"
15,15,stbi__mad4sizes_valid,int,"int stbi__mad4sizes_valid(int a, int b, int c, int d, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'c', 'type': 'int'}, {'name': 'd', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",验证四数相乘及加值运算的有效性,"static int stbi__mad4sizes_valid(int a, int b, int c, int d, int add)
{
   return stbi__mul2sizes_valid(a, b) && stbi__mul2sizes_valid(a*b, c) &&
      stbi__mul2sizes_valid(a*b*c, d) && stbi__addsizes_valid(a*b*c*d, add);
}","{'begin': {'line': 1039, 'column': 1}, 'end': {'line': 1043, 'column': 2}}",play_bmp_sequence.c,"['验证', '四数', '相乘', '及', '加值', '运算', '的', '有效', '有效性']"
16,16,stbi__malloc_mad2,void *,"void * stbi__malloc_mad2(int a, int b, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",分配a*b+add内存，校验无效返回空,"static void *stbi__malloc_mad2(int a, int b, int add)
{
   if (!stbi__mad2sizes_valid(a, b, add)) return NULL;
   return stbi__malloc(a*b + add);
}","{'begin': {'line': 1048, 'column': 1}, 'end': {'line': 1052, 'column': 2}}",play_bmp_sequence.c,"['分配', 'a', '*', 'b', '+', 'add', '内存', '，', '校验', '无效', '返回', '空']"
17,17,stbi__malloc_mad3,void *,"void * stbi__malloc_mad3(int a, int b, int c, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'c', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",分配a*b*c + add大小的内存，检查有效性,"static void *stbi__malloc_mad3(int a, int b, int c, int add)
{
   if (!stbi__mad3sizes_valid(a, b, c, add)) return NULL;
   return stbi__malloc(a*b*c + add);
}","{'begin': {'line': 1055, 'column': 1}, 'end': {'line': 1059, 'column': 2}}",play_bmp_sequence.c,"['分配', 'a', '*', 'b', '*', 'c', ' ', '+', ' ', 'add', '大小', '的', '内存', '，', '检查', '有效', '有效性']"
18,18,stbi__malloc_mad4,void *,"void * stbi__malloc_mad4(int a, int b, int c, int d, int add)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}, {'name': 'c', 'type': 'int'}, {'name': 'd', 'type': 'int'}, {'name': 'add', 'type': 'int'}]",验证参数后分配指定大小的内存,"static void *stbi__malloc_mad4(int a, int b, int c, int d, int add)
{
   if (!stbi__mad4sizes_valid(a, b, c, d, add)) return NULL;
   return stbi__malloc(a*b*c*d + add);
}","{'begin': {'line': 1062, 'column': 1}, 'end': {'line': 1066, 'column': 2}}",play_bmp_sequence.c,"['验证', '参数', '后', '分配', '指定', '大小', '的', '内存']"
19,19,stbi__addints_valid,int,"int stbi__addints_valid(int a, int b)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}]",检查两个整数相加是否溢出,"static int stbi__addints_valid(int a, int b)
{
   if ((a >= 0) != (b >= 0)) return 1; // a and b have different signs, so no overflow
   if (a < 0 && b < 0) return a >= INT_MIN - b; // same as a + b >= INT_MIN; INT_MIN - b cannot overflow since b < 0.
   return a <= INT_MAX - b;
}","{'begin': {'line': 1070, 'column': 1}, 'end': {'line': 1075, 'column': 2}}",play_bmp_sequence.c,"['检查', '两个', '整数', '相加', '是否', '溢出']"
20,20,stbi__mul2shorts_valid,int,"int stbi__mul2shorts_valid(int a, int b)","[{'name': 'a', 'type': 'int'}, {'name': 'b', 'type': 'int'}]",检查两数相乘结果是否在short范围内,"static int stbi__mul2shorts_valid(int a, int b)
{
   if (b == 0 || b == -1) return 1; // multiplication by 0 is always 0; check for -1 so SHRT_MIN/b doesn't overflow
   if ((a >= 0) == (b >= 0)) return a <= SHRT_MAX/b; // product is positive, so similar to mul2sizes_valid
   if (b < 0) return a <= SHRT_MIN / b; // same as a * b >= SHRT_MIN
   return a >= SHRT_MIN / b;
}","{'begin': {'line': 1078, 'column': 1}, 'end': {'line': 1084, 'column': 2}}",play_bmp_sequence.c,"['检查', '两', '数', '相乘', '结果', '是否', '在', 'short', '范围', '内']"
21,21,stbi_image_free,void,void stbi_image_free(void * retval_from_stbi_load),"[{'name': 'retval_from_stbi_load', 'type': 'void *'}]",释放由stbi_load加载的图像内存,"STBIDEF void stbi_image_free(void *retval_from_stbi_load)
{
   STBI_FREE(retval_from_stbi_load);
}","{'begin': {'line': 1101, 'column': 1}, 'end': {'line': 1104, 'column': 2}}",play_bmp_sequence.c,"['释放', '由', 'stbi', '_', 'load', '加载', '的', '图像', '内存']"
22,22,stbi_set_flip_vertically_on_load,void,void stbi_set_flip_vertically_on_load(int flag_true_if_should_flip),"[{'name': 'flag_true_if_should_flip', 'type': 'int'}]",设置图像加载时垂直翻转标志,"STBIDEF void stbi_set_flip_vertically_on_load(int flag_true_if_should_flip)
{
   stbi__vertically_flip_on_load_global = flag_true_if_should_flip;
}","{'begin': {'line': 1116, 'column': 1}, 'end': {'line': 1119, 'column': 2}}",play_bmp_sequence.c,"['设置', '图像', '加载', '时', '垂直', '翻转', '标志']"
23,23,stbi_set_flip_vertically_on_load_thread,void,void stbi_set_flip_vertically_on_load_thread(int flag_true_if_should_flip),"[{'name': 'flag_true_if_should_flip', 'type': 'int'}]",设置加载图像时垂直翻转的线程局部标志,"STBIDEF void stbi_set_flip_vertically_on_load_thread(int flag_true_if_should_flip)
{
   stbi__vertically_flip_on_load_local = flag_true_if_should_flip;
   stbi__vertically_flip_on_load_set = 1;
}","{'begin': {'line': 1126, 'column': 1}, 'end': {'line': 1130, 'column': 2}}",play_bmp_sequence.c,"['设置', '加载', '图像', '时', '垂直', '翻转', '的', '线程', '局部', '标志']"
24,24,stbi__load_main,void *,"void * stbi__load_main(stbi__context * s, int * x, int * y, int * comp, int req_comp, stbi__result_info * ri, int bpc)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'x', 'type': 'int *'}, {'name': 'y', 'type': 'int *'}, {'name': 'comp', 'type': 'int *'}, {'name': 'req_comp', 'type': 'int'}, {'name': 'ri', 'type': 'stbi__result_info *'}, {'name': 'bpc', 'type': 'int'}]",自动检测并加载支持的图像格式数据。,"static void *stbi__load_main(stbi__context *s, int *x, int *y, int *comp, int req_comp, stbi__result_info *ri, int bpc)
{
   memset(ri, 0, sizeof(*ri)); // make sure it's initialized if we add new fields
   ri->bits_per_channel = 8; // default is 8 so most paths don't have to be changed
   ri->channel_order = STBI_ORDER_RGB; // all current input & output are this, but this is here so we can add BGR order
   ri->num_channels = 0;

   // test the formats with a very explicit header first (at least a FOURCC
   // or distinctive magic number first)
   #ifndef STBI_NO_PNG
   if (stbi__png_test(s))  return stbi__png_load(s,x,y,comp,req_comp, ri);
   #endif
   #ifndef STBI_NO_BMP
   if (stbi__bmp_test(s))  return stbi__bmp_load(s,x,y,comp,req_comp, ri);
   #endif
   #ifndef STBI_NO_GIF
   if (stbi__gif_test(s))  return stbi__gif_load(s,x,y,comp,req_comp, ri);
   #endif
   #ifndef STBI_NO_PSD
   if (stbi__psd_test(s))  return stbi__psd_load(s,x,y,comp,req_comp, ri, bpc);
   #else
   STBI_NOTUSED(bpc);
   #endif
   #ifndef STBI_NO_PIC
   if (stbi__pic_test(s))  return stbi__pic_load(s,x,y,comp,req_comp, ri);
   #endif

   // then the formats that can end up attempting to load with just 1 or 2
   // bytes matching expectations; these are prone to false positives, so
   // try them later
   #ifndef STBI_NO_JPEG
   if (stbi__jpeg_test(s)) return stbi__jpeg_load(s,x,y,comp,req_comp, ri);
   #endif
   #ifndef STBI_NO_PNM
   if (stbi__pnm_test(s))  return stbi__pnm_load(s,x,y,comp,req_comp, ri);
   #endif

   #ifndef STBI_NO_HDR
   if (stbi__hdr_test(s)) {
      float *hdr = stbi__hdr_load(s, x,y,comp,req_comp, ri);
      return stbi__hdr_to_ldr(hdr, *x, *y, req_comp ? req_comp : *comp);
   }
   #endif

   #ifndef STBI_NO_TGA
   // test tga last because it's a crappy test!
   if (stbi__tga_test(s))
      return stbi__tga_load(s,x,y,comp,req_comp, ri);
   #endif

   return stbi__errpuc(""unknown image type"", ""Image not of any known type, or corrupt"");
}","{'begin': {'line': 1137, 'column': 1}, 'end': {'line': 1188, 'column': 2}}",play_bmp_sequence.c,"['自动', '动检', '检测', '自动检测', '并', '加载', '支持', '的', '图像', '格式', '图像格式', '数据', '。']"
25,25,stbi__convert_16_to_8,stbi_uc *,"stbi_uc * stbi__convert_16_to_8(stbi__uint16 * orig, int w, int h, int channels)","[{'name': 'orig', 'type': 'stbi__uint16 *'}, {'name': 'w', 'type': 'int'}, {'name': 'h', 'type': 'int'}, {'name': 'channels', 'type': 'int'}]",将16位图像数据转换为8位，释放原内存。,"static stbi_uc *stbi__convert_16_to_8(stbi__uint16 *orig, int w, int h, int channels)
{
   int i;
   int img_len = w * h * channels;
   stbi_uc *reduced;

   reduced = (stbi_uc *) stbi__malloc(img_len);
   if (reduced == NULL) return stbi__errpuc(""outofmem"", ""Out of memory"");

   for (i = 0; i < img_len; ++i)
      reduced[i] = (stbi_uc)((orig[i] >> 8) & 0xFF); // top half of each byte is sufficient approx of 16->8 bit scaling

   STBI_FREE(orig);
   return reduced;
}","{'begin': {'line': 1190, 'column': 1}, 'end': {'line': 1204, 'column': 2}}",play_bmp_sequence.c,"['将', '16', '位', '图像', '数据', '转换', '为', '8', '位', '，', '释放', '原', '内存', '。']"
26,26,stbi__convert_8_to_16,stbi__uint16 *,"stbi__uint16 * stbi__convert_8_to_16(stbi_uc * orig, int w, int h, int channels)","[{'name': 'orig', 'type': 'stbi_uc *'}, {'name': 'w', 'type': 'int'}, {'name': 'h', 'type': 'int'}, {'name': 'channels', 'type': 'int'}]",将8位像素数据转换为16位并释放原内存,"static stbi__uint16 *stbi__convert_8_to_16(stbi_uc *orig, int w, int h, int channels)
{
   int i;
   int img_len = w * h * channels;
   stbi__uint16 *enlarged;

   enlarged = (stbi__uint16 *) stbi__malloc(img_len*2);
   if (enlarged == NULL) return (stbi__uint16 *) stbi__errpuc(""outofmem"", ""Out of memory"");

   for (i = 0; i < img_len; ++i)
      enlarged[i] = (stbi__uint16)((orig[i] << 8) + orig[i]); // replicate to high and low byte, maps 0->0, 255->0xffff

   STBI_FREE(orig);
   return enlarged;
}","{'begin': {'line': 1206, 'column': 1}, 'end': {'line': 1220, 'column': 2}}",play_bmp_sequence.c,"['将', '8', '位', '像素', '数据', '转换', '为', '16', '位', '并', '释放', '原', '内存']"
27,27,stbi__vertical_flip,void,"void stbi__vertical_flip(void * image, int w, int h, int bytes_per_pixel)","[{'name': 'image', 'type': 'void *'}, {'name': 'w', 'type': 'int'}, {'name': 'h', 'type': 'int'}, {'name': 'bytes_per_pixel', 'type': 'int'}]",垂直翻转图像数据的内存块,"static void stbi__vertical_flip(void *image, int w, int h, int bytes_per_pixel)
{
   int row;
   size_t bytes_per_row = (size_t)w * bytes_per_pixel;
   stbi_uc temp[2048];
   stbi_uc *bytes = (stbi_uc *)image;

   for (row = 0; row < (h>>1); row++) {
      stbi_uc *row0 = bytes + row*bytes_per_row;
      stbi_uc *row1 = bytes + (h - row - 1)*bytes_per_row;
      // swap row0 with row1
      size_t bytes_left = bytes_per_row;
      while (bytes_left) {
         size_t bytes_copy = (bytes_left < sizeof(temp)) ? bytes_left : sizeof(temp);
         memcpy(temp, row0, bytes_copy);
         memcpy(row0, row1, bytes_copy);
         memcpy(row1, temp, bytes_copy);
         row0 += bytes_copy;
         row1 += bytes_copy;
         bytes_left -= bytes_copy;
      }
   }
}","{'begin': {'line': 1222, 'column': 1}, 'end': {'line': 1244, 'column': 2}}",play_bmp_sequence.c,"['垂直', '翻转', '图像', '数据', '的', '内存', '块']"
28,28,stbi__vertical_flip_slices,void,"void stbi__vertical_flip_slices(void * image, int w, int h, int z, int bytes_per_pixel)","[{'name': 'image', 'type': 'void *'}, {'name': 'w', 'type': 'int'}, {'name': 'h', 'type': 'int'}, {'name': 'z', 'type': 'int'}, {'name': 'bytes_per_pixel', 'type': 'int'}]",对图像的每个切片进行垂直翻转处理,"static void stbi__vertical_flip_slices(void *image, int w, int h, int z, int bytes_per_pixel)
{
   int slice;
   int slice_size = w * h * bytes_per_pixel;

   stbi_uc *bytes = (stbi_uc *)image;
   for (slice = 0; slice < z; ++slice) {
      stbi__vertical_flip(bytes, w, h, bytes_per_pixel);
      bytes += slice_size;
   }
}","{'begin': {'line': 1247, 'column': 1}, 'end': {'line': 1257, 'column': 2}}",play_bmp_sequence.c,"['对', '图像', '的', '每个', '切片', '进行', '垂直', '翻转', '处理']"
29,29,stbi__load_and_postprocess_8bit,unsigned char *,"unsigned char * stbi__load_and_postprocess_8bit(stbi__context * s, int * x, int * y, int * comp, int req_comp)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'x', 'type': 'int *'}, {'name': 'y', 'type': 'int *'}, {'name': 'comp', 'type': 'int *'}, {'name': 'req_comp', 'type': 'int'}]",加载图像并处理为8位，支持垂直翻转,"static unsigned char *stbi__load_and_postprocess_8bit(stbi__context *s, int *x, int *y, int *comp, int req_comp)
{
   stbi__result_info ri;
   void *result = stbi__load_main(s, x, y, comp, req_comp, &ri, 8);

   if (result == NULL)
      return NULL;

   // it is the responsibility of the loaders to make sure we get either 8 or 16 bit.
   STBI_ASSERT(ri.bits_per_channel == 8 || ri.bits_per_channel == 16);

   if (ri.bits_per_channel != 8) {
      result = stbi__convert_16_to_8((stbi__uint16 *) result, *x, *y, req_comp == 0 ? *comp : req_comp);
      ri.bits_per_channel = 8;
   }

   // @TODO: move stbi__convert_format to here

   if (stbi__vertically_flip_on_load) {
      int channels = req_comp ? req_comp : *comp;
      stbi__vertical_flip(result, *x, *y, channels * sizeof(stbi_uc));
   }

   return (unsigned char *) result;
}","{'begin': {'line': 1260, 'column': 1}, 'end': {'line': 1284, 'column': 2}}",play_bmp_sequence.c,"['加载', '图像', '并', '处理', '为', '8', '位', '，', '支持', '垂直', '翻转']"
30,30,stbi__load_and_postprocess_16bit,stbi__uint16 *,"stbi__uint16 * stbi__load_and_postprocess_16bit(stbi__context * s, int * x, int * y, int * comp, int req_comp)","[{'name': 's', 'type': 'stbi__context *'}, {'name': 'x', 'type': 'int *'}, {'name': 'y', 'type': 'int *'}, {'name': 'comp', 'type': 'int *'}, {'name': 'req_comp', 'type': 'int'}]",加载16位图像，支持位深转换与垂直翻转,"static stbi__uint16 *stbi__load_and_postprocess_16bit(stbi__context *s, int *x, int *y, int *comp, int req_comp)
{
   stbi__result_info ri;
   void *result = stbi__load_main(s, x, y, comp, req_comp, &ri, 16);

   if (result == NULL)
      return NULL;

   // it is the responsibility of the loaders to make sure we get either 8 or 16 bit.
   STBI_ASSERT(ri.bits_per_channel == 8 || ri.bits_per_channel == 16);

   if (ri.bits_per_channel != 16) {
      result = stbi__convert_8_to_16((stbi_uc *) result, *x, *y, req_comp == 0 ? *comp : req_comp);
      ri.bits_per_channel = 16;
   }

   // @TODO: move stbi__convert_format16 to here
   // @TODO: special case RGB-to-Y (and RGBA-to-YA) for 8-bit-to-16-bit case to keep more precision

   if (stbi__vertically_flip_on_load) {
      int channels = req_comp ? req_comp : *comp;
      stbi__vertical_flip(result, *x, *y, channels * sizeof(stbi__uint16));
   }

   return (stbi__uint16 *) result;
}","{'begin': {'line': 1286, 'column': 1}, 'end': {'line': 1311, 'column': 2}}",play_bmp_sequence.c,"['加载', '16', '位', '图像', '，', '支持', '位深', '转换', '与', '垂直', '翻转']"
31,31,stbi__float_postprocess,void,"void stbi__float_postprocess(float * result, int * x, int * y, int * comp, int req_comp)","[{'name': 'result', 'type': 'float *'}, {'name': 'x', 'type': 'int *'}, {'name': 'y', 'type': 'int *'}, {'name': 'comp', 'type': 'int *'}, {'name': 'req_comp', 'type': 'int'}]",根据配置对浮点图像数据进行垂直翻转处理,"static void stbi__float_postprocess(float *result, int *x, int *y, int *comp, int req_comp)
{
   if (stbi__vertically_flip_on_load && result != NULL) {
      int channels = req_comp ? req_comp : *comp;
      stbi__vertical_flip(result, *x, *y, channels * sizeof(float));
   }
}","{'begin': {'line': 1314, 'column': 1}, 'end': {'line': 1320, 'column': 2}}",play_bmp_sequence.c,"['根据', '配置', '对', '浮点', '图像', '数据', '进行', '垂直', '翻转', '处理']"
